x,y,z,layer_group,layer_id,segment_id,seq
0.018268007246032912,-0.5842875236343504,-0.17712710292734762,plane,0,0,29
0.02827015518330733,-0.5843033688821059,-0.17644286778344537,plane,0,0,30
0.038271171841827094,-0.5843833742688641,-0.17574524408272546,plane,0,0,31
0.048289389333605034,-0.5843936615900401,-0.1753700037585465,plane,0,0,32
0.0583125872629396,-0.5844292170925269,-0.1751529154766021,plane,0,0,33
0.06833784369370431,-0.5844146934843432,-0.17509682351139685,plane,0,0,34
0.07836250833610503,-0.5843921053639625,-0.17496951010755846,plane,0,0,35
0.08838485871055594,-0.5843391449510216,-0.17472454899339632,plane,0,0,36
0.09840557200254167,-0.5843015762388065,-0.17441750566473488,plane,0,0,37
0.10842702053610184,-0.5842835745819628,-0.1741334402235428,plane,0,0,38
0.11844926175387968,-0.5842815435443234,-0.17387871391445797,plane,0,0,39
0.12846707066904703,-0.5842826315068136,-0.17348722844561798,plane,0,0,40
0.13845518327749332,-0.584282659087183,-0.17261990647825215,plane,0,0,41
0.14835681814076873,-0.5842719994873269,-0.17105095616687008,plane,0,0,42
0.15818380526570106,-0.5842279995029095,-0.1690660304494594,plane,0,0,43
0.16799173221518318,-0.5841349758220152,-0.16699088488397137,plane,0,0,44
0.17489422332516785,-0.5340770263070235,-0.16694876318730376,plane,0,1,0
0.16495025334069713,-0.5340778944769216,-0.1690354336424414,plane,0,1,1
0.15495700852366245,-0.5340880494187509,-0.17087242171748274,plane,0,1,2
0.14494407794000122,-0.534077065492532,-0.17259707262187657,plane,0,1,3
0.13484520439339465,-0.5340659900068003,-0.17371718788172757,plane,0,1,4
0.12469655340752774,-0.5340547673831423,-0.17420793683787522,plane,0,1,5
0.11453596117170256,-0.5340682249340859,-0.17424631021664955,plane,0,1,6
0.10437537137908218,-0.5340785739442182,-0.1742367021077183,plane,0,1,7
0.09421595771294795,-0.5340648410959973,-0.1743872269443022,plane,0,1,8
0.08406625891047109,-0.534034395671278,-0.17485809820423404,plane,0,1,9
0.07392308134975989,-0.5339719533715045,-0.1754495346865486,plane,0,1,10
0.06377711788712688,-0.5339155567056092,-0.17599094371023374,plane,0,1,11
0.053620086932676975,-0.5338951946084881,-0.176261642224358,plane,0,1,12
0.04345969259354677,-0.5339201854970598,-0.17631788714941588,plane,0,1,13
0.03330017128410861,-0.533928827031179,-0.1761695379647416,plane,0,1,14
0.023140034342800802,-0.5338899411174142,-0.1760788450445899,plane,0,1,15
0.012980763311646255,-0.5338069229367841,-0.1762136700920162,plane,0,1,16
0.0028432776603117198,-0.533687357390304,-0.1768890267450009,plane,0,1,17
-0.007265591712751824,-0.533440408113721,-0.1778825960386486,plane,0,1,18
-0.017374891820448244,-0.5330982792094808,-0.17884261130528775,plane,0,1,19
-0.027512115207445127,-0.5328483434683615,-0.1794863505846994,plane,0,1,20
-0.037669231464538044,-0.5328218176791945,-0.1797562835402951,plane,0,1,21
-0.04782403728064653,-0.5330887169928368,-0.17954365920771564,plane,0,1,22
-0.057961204488642885,-0.5333952444104143,-0.1789234310852113,plane,0,1,23
-0.06807484889826829,-0.5337551774749757,-0.17801617596225294,plane,0,1,24
-0.0782017210588415,-0.5339670627614779,-0.17721953794145803,plane,0,1,25
-0.08834001792066552,-0.5340598867237505,-0.1765476659905971,plane,0,1,26
-0.09849836220047987,-0.5341418903302079,-0.17636923988856323,plane,0,1,27
-0.10865890955633262,-0.5341670817000215,-0.17642252217048018,plane,0,1,28
