x y z nx ny nz
-0.229989 -0.604532 -0.168365 0.000479 -0.011339 0.999936
-0.224960 -0.604573 -0.168368 0.000479 -0.011339 0.999936
-0.219932 -0.604614 -0.168370 0.000479 -0.011339 0.999936
-0.214903 -0.604655 -0.168373 0.000479 -0.011339 0.999936
-0.209874 -0.604697 -0.168376 0.000479 -0.011339 0.999936
-0.204846 -0.604738 -0.168379 0.000479 -0.011339 0.999936
-0.199817 -0.604779 -0.168382 0.000479 -0.011339 0.999936
-0.194788 -0.604820 -0.168385 0.000479 -0.011339 0.999936
-0.189760 -0.604862 -0.168388 0.000479 -0.011339 0.999936
-0.184731 -0.604903 -0.168391 0.000479 -0.011339 0.999936
-0.179702 -0.604944 -0.168393 0.000479 -0.011339 0.999936
-0.174674 -0.604985 -0.168396 0.000479 -0.011339 0.999936
-0.169645 -0.605027 -0.168399 0.000479 -0.011339 0.999936
-0.164616 -0.605068 -0.168402 0.000479 -0.011339 0.999936
-0.159588 -0.605109 -0.168405 0.000479 -0.011339 0.999936
-0.154559 -0.605150 -0.168408 0.000479 -0.011339 0.999936
-0.149531 -0.605192 -0.168411 0.000479 -0.011339 0.999936
-0.144502 -0.605233 -0.168414 0.000479 -0.011339 0.999936
-0.139473 -0.605274 -0.168416 0.000479 -0.011339 0.999936
-0.134445 -0.605315 -0.168419 0.000479 -0.011339 0.999936
-0.129416 -0.605357 -0.168422 0.000479 -0.011339 0.999936
-0.124387 -0.605398 -0.168425 0.000479 -0.011339 0.999936
-0.119359 -0.605439 -0.168428 0.000479 -0.011339 0.999936
-0.114330 -0.605480 -0.168431 0.000479 -0.011339 0.999936
-0.109301 -0.605522 -0.168434 0.000479 -0.011339 0.999936
-0.104273 -0.605563 -0.168437 0.000479 -0.011339 0.999936
-0.099244 -0.605604 -0.168439 0.000479 -0.011339 0.999936
-0.094215 -0.605645 -0.168442 0.000479 -0.011339 0.999936
-0.089187 -0.605687 -0.168445 0.000479 -0.011339 0.999936
-0.084158 -0.605728 -0.168448 0.000479 -0.011339 0.999936
-0.079129 -0.605769 -0.168451 0.000479 -0.011339 0.999936
-0.074101 -0.605810 -0.168454 0.000479 -0.011339 0.999936
-0.069072 -0.605852 -0.168457 0.000479 -0.011339 0.999936
-0.064043 -0.605893 -0.168460 0.000479 -0.011339 0.999936
-0.059015 -0.605934 -0.168462 0.000479 -0.011339 0.999936
-0.053986 -0.605975 -0.168465 0.000479 -0.011339 0.999936
-0.048957 -0.606017 -0.168468 0.000479 -0.011339 0.999936
-0.043929 -0.606058 -0.168471 0.000479 -0.011339 0.999936
-0.038900 -0.606099 -0.168474 0.000479 -0.011339 0.999936
-0.033871 -0.606140 -0.168477 0.000479 -0.011339 0.999936
-0.028843 -0.606182 -0.168480 0.000479 -0.011339 0.999936
-0.023814 -0.606223 -0.168483 0.000479 -0.011339 0.999936
