x y z nx ny nz
-0.088549 -0.684397 -0.072704 0.064396 0.924593 0.375473
-0.083733 -0.684936 -0.072704 0.059061 0.925461 0.374211
-0.078423 -0.685031 -0.072704 0.036490 0.925658 0.376598
-0.072590 -0.685066 -0.072704 0.025340 0.924614 0.380062
-0.065630 -0.684995 -0.072704 0.012893 0.919216 0.393543
-0.059247 -0.685002 -0.072704 -0.002434 0.912949 0.408067
-0.053719 -0.684928 -0.072704 -0.012016 0.911148 0.411903
-0.049057 -0.685094 -0.072704 -0.012348 0.908345 0.418038
-0.044429 -0.685352 -0.072704 -0.016522 0.903158 0.428989
-0.039172 -0.685571 -0.072704 -0.022060 0.897132 0.441210
-0.033872 -0.685297 -0.072704 -0.023632 0.893770 0.447903
-0.027740 -0.684926 -0.072704 -0.028523 0.895345 0.444459
-0.020788 -0.684291 -0.072704 -0.028038 0.900030 0.434925
-0.012246 -0.683733 -0.072704 -0.034396 0.909196 0.414946
-0.004091 -0.683261 -0.072704 -0.059659 0.935025 0.349526
0.002843 -0.682974 -0.072704 -0.061968 0.939387 0.337213
0.007684 -0.682789 -0.072704 -0.069215 0.945180 0.319130
0.012301 -0.682298 -0.072704 -0.064872 0.948762 0.309261
0.017578 -0.681803 -0.072704 -0.048093 0.950520 0.306917
0.023879 -0.681279 -0.072704 -0.039171 0.948183 0.315302
0.030310 -0.680960 -0.072704 -0.028784 0.945053 0.325648
0.036977 -0.680730 -0.072704 -0.022766 0.937774 0.346500
0.044199 -0.680656 -0.072704 -0.029247 0.938310 0.344555
0.052196 -0.680715 -0.072704 -0.037531 0.936201 0.349456
0.059175 -0.680717 -0.072704 -0.037065 0.937310 0.346520
0.065054 -0.680475 -0.072704 -0.028885 0.939235 0.342058
0.070708 -0.680041 -0.072704 -0.021596 0.941717 0.335713
0.078201 -0.679812 -0.072704 -0.000249 0.948246 0.317536
0.086828 -0.679880 -0.072704 0.019970 0.955160 0.295417
0.094824 -0.680140 -0.072704 0.018739 0.959103 0.282436
0.101153 -0.680254 -0.072704 0.002977 0.962145 0.272522
0.106611 -0.680202 -0.072704 -0.010915 0.962397 0.271429
0.112368 -0.680114 -0.072704 -0.031561 0.964448 0.262381
0.118181 -0.680001 -0.072704 -0.047061 0.964693 0.259140
0.123493 -0.680019 -0.072704 -0.047487 0.965860 0.254676
0.127735 -0.679852 -0.072704 -0.046426 0.966255 0.253367
0.132007 -0.679829 -0.072704 -0.039323 0.967279 0.250648
0.136504 -0.679569 -0.072704 -0.027425 0.967630 0.250879
0.141781 -0.679426 -0.072704 -0.023391 0.967731 0.250899
0.146969 -0.679198 -0.072704 -0.020459 0.965140 0.260934
0.152199 -0.679116 -0.072704 -0.021178 0.963712 0.266104
0.156964 -0.679159 -0.072704 -0.026744 0.961594 0.273171
0.161749 -0.679155 -0.072704 -0.038394 0.959177 0.280189
0.165934 -0.679073 -0.072704 -0.046680 0.957569 0.284399
0.169808 -0.678714 -0.072704 -0.053711 0.956181 0.287808
0.173158 -0.678241 -0.072704 -0.059214 0.955332 0.289541
0.177387 -0.677738 -0.072704 -0.062617 0.954528 0.291473
0.182728 -0.677252 -0.072704 -0.066301 0.953476 0.294089
0.189172 -0.676724 -0.072704 -0.064358 0.952709 0.296989
0.196153 -0.676118 -0.072704 -0.062841 0.952474 0.298067
0.203355 -0.675484 -0.072704 -0.072333 0.950981 0.300670
0.210995 -0.674789 -0.072704 -0.105848 0.948315 0.299158
0.218197 -0.674201 -0.072704 -0.127909 0.943980 0.304205
0.224873 -0.673557 -0.072704 -0.147054 0.936751 0.317605
0.231394 -0.672610 -0.072704 -0.169266 0.927732 0.332658
0.238536 -0.670872 -0.072704 -0.220648 0.902942 0.368796
0.246293 -0.668477 -0.072704 -0.299469 0.863618 0.405565
0.253582 -0.665331 -0.072704 -0.421168 0.794785 0.436961
0.260017 -0.661661 -0.072704 -0.488552 0.751042 0.444132
0.265596 -0.656875 -0.072704 -0.572796 0.677707 0.461105
0.270643 -0.651700 -0.072704 -0.696117 0.541330 0.471576
0.274706 -0.646115 -0.072704 -0.766873 0.412868 0.491371
0.277973 -0.641015 -0.072704 -0.780284 0.379364 0.497233
0.280211 -0.635958 -0.072704 -0.813352 0.290082 0.504292
0.282350 -0.630678 -0.072704 -0.828576 0.229255 0.510788
0.283735 -0.624868 -0.072704 -0.842726 0.177414 0.508268
0.284850 -0.619095 -0.072704 -0.853740 0.120274 0.506619
0.285208 -0.613955 -0.072704 -0.856737 0.094684 0.506988
